<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230329,155000,159.72,159.88,159.58,159.79,676995,0
AAPL.US,5,20230329,155500,159.8,159.86,159.595,159.848,477769,0
AAPL.US,5,20230329,160000,159.86,160.3,159.86,160.28,1049727,0
AAPL.US,5,20230329,160500,160.29,160.29,160.07,160.16,682112,0
AAPL.US,5,20230329,161000,160.16,160.28,160.04,160.05,587293,0
AAPL.US,5,20230329,161500,160.0579,160.14,159.885,160.07,543741,0
AAPL.US,5,20230329,162000,160.07,160.14,159.84,159.9,477238,0
AAPL.US,5,20230329,162500,159.895,159.94,159.65,159.806,476664,0
AAPL.US,5,20230329,163000,159.805,159.81,159.64,159.7392,341770,0
AAPL.US,5,20230329,163500,159.74,159.74,159.6,159.73,400026,0
AAPL.US,5,20230329,164000,159.725,160,159.61,159.77,503473,0
AAPL.US,5,20230329,164500,159.77,159.78,159.46,159.5584,533497,0
AAPL.US,5,20230329,165000,159.5505,159.62,159.35,159.42,369070,0
AAPL.US,5,20230329,165500,159.42,159.6,159.3601,159.5106,406534,0
AAPL.US,5,20230329,170000,159.51,159.75,159.5,159.69,360519,0
AAPL.US,5,20230329,170500,159.7,159.81,159.67,159.7536,312600,0
AAPL.US,5,20230329,171000,159.76,159.78,159.55,159.605,274779,0
AAPL.US,5,20230329,171500,159.6085,159.7494,159.5,159.6038,361033,0
AAPL.US,5,20230329,172000,159.6097,159.9614,159.6,159.92,473706,0
AAPL.US,5,20230329,172500,159.925,159.95,159.76,159.8719,316035,0
AAPL.US,5,20230329,173000,159.88,160.06,159.86,159.9469,484478,0
AAPL.US,5,20230329,173500,159.94,160,159.86,159.895,316501,0
AAPL.US,5,20230329,174000,159.89,159.94,159.79,159.8417,194706,0
AAPL.US,5,20230329,174500,159.85,159.97,159.85,159.9,228616,0
AAPL.US,5,20230329,175000,159.9,159.905,159.77,159.7893,281709,0
AAPL.US,5,20230329,175500,159.79,159.89,159.725,159.87,392242,0
AAPL.US,5,20230329,180000,159.88,159.93,159.78,159.86,295061,0
AAPL.US,5,20230329,180500,159.86,159.86,159.51,159.5804,344715,0
AAPL.US,5,20230329,181000,159.59,159.88,159.56,159.88,263023,0
AAPL.US,5,20230329,181500,159.87,159.955,159.71,159.945,348561,0
AAPL.US,5,20230329,182000,159.945,159.98,159.85,159.85,297583,0
AAPL.US,5,20230329,182500,159.85,159.97,159.845,159.93,243664,0
AAPL.US,5,20230329,183000,159.9213,160.04,159.9054,159.9099,475138,0
AAPL.US,5,20230329,183500,159.91,160.0177,159.88,159.9982,239149,0
AAPL.US,5,20230329,184000,159.995,160.03,159.88,159.91,208542,0
AAPL.US,5,20230329,184500,159.91,159.935,159.8,159.8701,210080,0
AAPL.US,5,20230329,185000,159.87,160.03,159.8609,160.0108,249441,0
AAPL.US,5,20230329,185500,160.02,160.02,159.875,159.955,291484,0
AAPL.US,5,20230329,190000,159.955,159.985,159.84,159.96,220166,0
AAPL.US,5,20230329,190500,159.97,160.295,159.97,160.27,612625,0
AAPL.US,5,20230329,191000,160.27,160.36,160.23,160.2752,618228,0
AAPL.US,5,20230329,191500,160.27,160.35,160.225,160.26,401799,0
AAPL.US,5,20230329,192000,160.26,160.41,160.24,160.375,253193,0
AAPL.US,5,20230329,192500,160.38,160.46,160.31,160.42,305499,0
AAPL.US,5,20230329,193000,160.425,160.44,160.17,160.2015,372563,0
AAPL.US,5,20230329,193500,160.21,160.25,160.03,160.08,398228,0
AAPL.US,5,20230329,194000,160.09,160.285,160.08,160.2401,327387,0
AAPL.US,5,20230329,194500,160.2434,160.26,160.13,160.195,223301,0
AAPL.US,5,20230329,195000,160.1981,160.21,159.9831,159.9831,300738,0
