<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230202,180500,149.72,149.79,149.49,149.51,768834,0
AAPL.US,5,20230202,181000,149.5101,149.96,149.43,149.935,740057,0
AAPL.US,5,20230202,181500,149.94,150.069,149.8,149.9078,587038,0
AAPL.US,5,20230202,182000,149.92,150.0527,149.8101,150.05,421351,0
AAPL.US,5,20230202,182500,150.05,150.09,149.83,149.9156,468154,0
AAPL.US,5,20230202,183000,149.92,150.235,149.845,150.218,631650,0
AAPL.US,5,20230202,183500,150.2158,150.28,149.9,149.9813,511160,0
AAPL.US,5,20230202,184000,149.9801,149.9999,149.63,149.85,505671,0
AAPL.US,5,20230202,184500,149.86,149.92,149.7,149.74,472429,0
AAPL.US,5,20230202,185000,149.75,149.85,149.68,149.795,463064,0
AAPL.US,5,20230202,185500,149.7801,149.96,149.735,149.92,672946,0
AAPL.US,5,20230202,190000,149.93,150.21,149.92,150.145,729984,0
AAPL.US,5,20230202,190500,150.15,150.24,150.09,150.14,749212,0
AAPL.US,5,20230202,191000,150.15,150.305,150.1,150.1946,532551,0
AAPL.US,5,20230202,191500,150.195,150.225,149.95,150.19,669341,0
AAPL.US,5,20230202,192000,150.19,150.245,150.02,150.0701,522074,0
AAPL.US,5,20230202,192500,150.07,150.1099,149.9,149.95,475776,0
AAPL.US,5,20230202,193000,149.95,150.1799,149.9127,150.1399,444364,0
AAPL.US,5,20230202,193500,150.1301,150.24,150.07,150.24,468476,0
AAPL.US,5,20230202,194000,150.235,150.47,150.235,150.445,830786,0
AAPL.US,5,20230202,194500,150.44,150.51,150.345,150.41,609786,0
AAPL.US,5,20230202,195000,150.425,150.5,150.36,150.4506,493427,0
AAPL.US,5,20230202,195500,150.46,150.99,150.435,150.955,1157584,0
AAPL.US,5,20230202,200000,150.955,151.18,150.805,150.81,963430,0
AAPL.US,5,20230202,200500,150.8064,150.95,150.6911,150.85,592843,0
AAPL.US,5,20230202,201000,150.87,150.895,150.3,150.365,821476,0
AAPL.US,5,20230202,201500,150.3685,150.525,150.19,150.3727,691166,0
AAPL.US,5,20230202,202000,150.38,150.4015,150.12,150.175,585212,0
AAPL.US,5,20230202,202500,150.18,150.35,150.16,150.23,581375,0
AAPL.US,5,20230202,203000,150.23,150.31,149.7,149.78,945518,0
AAPL.US,5,20230202,203500,149.78,149.79,149.35,149.4599,957969,0
AAPL.US,5,20230202,204000,149.45,149.61,149.29,149.47,716084,0
AAPL.US,5,20230202,204500,149.4699,149.47,149.05,149.47,770360,0
AAPL.US,5,20230202,205000,149.465,149.69,149.16,149.43,907942,0
AAPL.US,5,20230202,205500,149.45,149.45,148.95,149.0409,904715,0
AAPL.US,5,20230202,210000,149.045,149.34,148.91,149.07,1075424,0
AAPL.US,5,20230202,210500,149.09,149.39,148.72,148.8887,1120094,0
AAPL.US,5,20230202,211000,148.88,149.31,148.8201,149.26,843302,0
AAPL.US,5,20230202,211500,149.27,149.56,149.16,149.5011,816596,0
AAPL.US,5,20230202,212000,149.51,149.647,149.435,149.5598,855511,0
AAPL.US,5,20230202,212500,149.55,149.76,149.41,149.595,1038913,0
AAPL.US,5,20230202,213000,149.595,150.22,149.595,150.1883,1214709,0
AAPL.US,5,20230202,213500,150.19,150.32,149.95,150.065,1244508,0
AAPL.US,5,20230202,214000,150.07,150.13,149.6547,149.66,1061200,0
AAPL.US,5,20230202,214500,149.67,149.91,149.46,149.695,1087330,0
AAPL.US,5,20230202,215000,149.7,150.23,149.7,150.22,1888172,0
AAPL.US,5,20230202,215500,150.22,150.93,150.11,150.82,9340838,0
AAPL.US,5,20230203,153000,148.03,150.37,147.83,149.5167,5512990,0
AAPL.US,5,20230203,153500,149.5,150.65,148.99,150.5693,2314997,0
AAPL.US,5,20230203,154000,150.53,151.41,150.3422,151.32,3085152,0
AAPL.US,5,20230203,154500,151.315,152.07,151.1101,151.795,2691977,0
AAPL.US,5,20230203,155000,151.8299,152.48,151.66,152.385,2153784,0
AAPL.US,5,20230203,155500,152.385,153.45,152.1601,153.26,3113497,0
AAPL.US,5,20230203,160000,153.24,153.82,152.5901,153.1363,3619403,0
AAPL.US,5,20230203,160500,153.12,153.58,152.74,152.76,2657418,0
AAPL.US,5,20230203,161000,152.7581,154.99,152.57,154.8701,3738859,0
AAPL.US,5,20230203,161500,154.8786,155.5944,154.6205,154.8212,3968925,0
AAPL.US,5,20230203,162000,154.83,156.47,154.74,156.1101,3257419,0
AAPL.US,5,20230203,162500,156.09,156.77,155.8,156.215,2907604,0
AAPL.US,5,20230203,163000,156.2242,157.19,155.86,157.06,2575944,0
AAPL.US,5,20230203,163500,157.06,157.38,156.52,156.77,2097650,0
AAPL.US,5,20230203,164000,156.7835,156.98,156.41,156.62,1690545,0
AAPL.US,5,20230203,164500,156.63,156.99,156.06,156.28,1755264,0
AAPL.US,5,20230203,165000,156.28,156.29,155.7,155.84,1745526,0
AAPL.US,5,20230203,165500,155.89,156.01,155.305,155.77,1675375,0
AAPL.US,5,20230203,170000,155.79,156.378,155.7287,156.0661,1406282,0
AAPL.US,5,20230203,170500,156.0501,156.22,155.52,155.7199,1130483,0
AAPL.US,5,20230203,171000,155.72,156.19,155.68,156.08,917757,0
AAPL.US,5,20230203,171500,156.08,156.44,155.81,155.87,1143672,0
AAPL.US,5,20230203,172000,155.86,156.21,155.5712,156.09,989093,0
AAPL.US,5,20230203,172500,156.09,156.56,155.87,156.4921,1081182,0
AAPL.US,5,20230203,173000,156.5,157.18,156.4842,157.0756,1550037,0
AAPL.US,5,20230203,173500,157.0799,157.2,156.48,156.68,1338288,0
AAPL.US,5,20230203,174000,156.6828,157.0567,156.42,157.035,1128190,0
AAPL.US,5,20230203,174500,157.035,157.13,156.54,156.57,1211879,0
AAPL.US,5,20230203,175000,156.56,156.74,156.34,156.4801,1062776,0
AAPL.US,5,20230203,175500,156.49,156.49,155.61,155.72,1284635,0
AAPL.US,5,20230203,180000,155.72,155.9233,155.49,155.78,1289260,0
AAPL.US,5,20230203,180500,155.775,156.23,155.77,155.9367,836424,0
AAPL.US,5,20230203,181000,155.93,156.5499,155.91,156.495,836793,0
AAPL.US,5,20230203,181500,156.5,156.9899,156.35,156.9741,991132,0
AAPL.US,5,20230203,182000,156.97,156.98,156.58,156.7693,854226,0
AAPL.US,5,20230203,182500,156.765,156.78,156.15,156.28,732373,0
AAPL.US,5,20230203,183000,156.29,156.36,156.06,156.22,649637,0
AAPL.US,5,20230203,183500,156.2201,156.41,156.08,156.14,766251,0
AAPL.US,5,20230203,184000,156.14,156.36,155.78,155.78,665727,0
AAPL.US,5,20230203,184500,155.788,155.92,155.54,155.595,763196,0
AAPL.US,5,20230203,185000,155.59,155.68,155.08,155.18,924227,0
AAPL.US,5,20230203,185500,155.18,155.3299,154.44,154.5789,1394800,0
AAPL.US,5,20230203,190000,154.58,155.05,154.45,154.83,1033508,0
AAPL.US,5,20230203,190500,154.82,155.1199,154.31,154.38,819592,0
AAPL.US,5,20230203,191000,154.38,154.81,154.265,154.79,803494,0
AAPL.US,5,20230203,191500,154.79,154.96,154.58,154.89,809885,0
AAPL.US,5,20230203,192000,154.8737,155.0998,154.69,154.805,877412,0
AAPL.US,5,20230203,192500,154.805,155.1499,154.76,155.06,634363,0
AAPL.US,5,20230203,193000,155.03,155.04,154.5999,154.73,717493,0
AAPL.US,5,20230203,193500,154.72,155.14,154.58,154.99,851215,0
AAPL.US,5,20230203,194000,154.98,155.26,154.59,154.74,1285381,0
AAPL.US,5,20230203,194500,154.75,155.42,154.39,155.2834,1590664,0
AAPL.US,5,20230203,195000,155.29,155.84,155.2,155.6,1219548,0
AAPL.US,5,20230203,195500,155.5957,155.75,155.23,155.3464,769564,0
AAPL.US,5,20230203,200000,155.35,155.4999,155.04,155.24,687418,0
AAPL.US,5,20230203,200500,155.27,155.58,155.09,155.45,703308,0
AAPL.US,5,20230203,201000,155.445,155.5,155.1,155.4109,499538,0
AAPL.US,5,20230203,201500,155.41,155.42,154.8,155,663126,0
AAPL.US,5,20230203,202000,154.98,155.28,154.9124,154.95,676344,0
AAPL.US,5,20230203,202500,154.96,155.21,154.69,155.18,686199,0
AAPL.US,5,20230203,203000,155.1771,155.18,154.71,154.89,651953,0
AAPL.US,5,20230203,203500,154.9,155.59,154.87,155.5799,896562,0
AAPL.US,5,20230203,204000,155.57,155.69,155.09,155.1101,744074,0
AAPL.US,5,20230203,204500,155.1101,155.21,154.9,155.14,828779,0
AAPL.US,5,20230203,205000,155.13,155.17,154.9,155.04,578326,0
AAPL.US,5,20230203,205500,155.025,155.12,154.4,154.6765,1159092,0
AAPL.US,5,20230203,210000,154.68,154.68,154.09,154.37,1141417,0
AAPL.US,5,20230203,210500,154.37,154.84,154.23,154.7885,801584,0
AAPL.US,5,20230203,211000,154.8,154.96,154.65,154.9142,734183,0
AAPL.US,5,20230203,211500,154.9101,155.2,154.6,155.135,995690,0
AAPL.US,5,20230203,212000,155.12,155.2,154.96,155.17,675252,0
AAPL.US,5,20230203,212500,155.17,155.325,154.9046,154.91,745410,0
AAPL.US,5,20230203,213000,154.905,155.05,154.62,154.665,910992,0
AAPL.US,5,20230203,213500,154.6501,154.9199,154.65,154.81,834524,0
AAPL.US,5,20230203,214000,154.8101,155.15,154.73,154.81,1108456,0
AAPL.US,5,20230203,214500,154.795,154.955,154.3,154.47,1400279,0
AAPL.US,5,20230203,215000,154.47,154.89,154.4,154.81,1788398,0
AAPL.US,5,20230203,215500,154.81,154.95,154.46,154.5,13068788,0
AAPL.US,5,20230206,153000,152.575,153.1,152.05,152.76,3369959,0
AAPL.US,5,20230206,153500,152.76,152.8,151.92,152.0606,1545744,0
AAPL.US,5,20230206,154000,152.07,152.55,151.99,152.31,1294124,0
AAPL.US,5,20230206,154500,152.31,152.94,152.26,152.59,1284029,0
AAPL.US,5,20230206,155000,152.61,152.655,151.71,151.86,1112091,0
AAPL.US,5,20230206,155500,151.88,152.55,151.88,152.48,1086808,0
AAPL.US,5,20230206,160000,152.48,152.6,152.1432,152.34,923485,0
AAPL.US,5,20230206,160500,152.34,152.7101,152.121,152.58,841961,0
AAPL.US,5,20230206,161000,152.58,152.61,151.7801,151.84,959406,0
AAPL.US,5,20230206,161500,151.825,151.86,151.45,151.66,1137130,0
AAPL.US,5,20230206,162000,151.66,151.79,151.36,151.5,1086751,0
AAPL.US,5,20230206,162500,151.495,151.66,151.3399,151.37,771593,0
AAPL.US,5,20230206,163000,151.38,151.4,150.9,151.09,1217556,0
AAPL.US,5,20230206,163500,151.08,151.4401,150.905,151.37,672938,0
AAPL.US,5,20230206,164000,151.37,151.76,151.35,151.53,787144,0
AAPL.US,5,20230206,164500,151.54,151.84,151.47,151.82,625324,0
AAPL.US,5,20230206,165000,151.8152,152.37,151.75,152.22,847809,0
AAPL.US,5,20230206,165500,152.222,152.345,152.02,152.27,566702,0
AAPL.US,5,20230206,170000,152.28,152.6,152.245,152.455,669065,0
AAPL.US,5,20230206,170500,152.44,152.92,152.2,152.2289,827648,0
AAPL.US,5,20230206,171000,152.235,152.38,152.11,152.3,506265,0
AAPL.US,5,20230206,171500,152.31,152.6,152.26,152.55,476641,0
AAPL.US,5,20230206,172000,152.54,152.85,152.395,152.7302,481023,0
AAPL.US,5,20230206,172500,152.75,153.06,152.73,152.8901,610222,0
